ID,batter,non-striker,batsman_run
1304057,AT Rayudu,RA Jadeja,1
1304057,AT Rayudu,S Dube,5
1304057,CJ Jordan,MS Dhoni,2
1304057,CJ Jordan,Mukesh Choudhary,3
1304057,D Pretorius,MS Dhoni,8
1304057,DJ Bravo,MS Dhoni,0
1304057,JM Sharma,LS Livingstone,1
1304057,JM Sharma,M Shahrukh Khan,25
1304057,K Rabada,OF Smith,6
1304057,K Rabada,RD Chahar,3
1304057,K Rabada,VG Arora,3
1304057,LS Livingstone,JM Sharma,5
1304057,LS Livingstone,S Dhawan,55
1304057,M Shahrukh Khan,JM Sharma,4
1304057,M Shahrukh Khan,OF Smith,2
1304057,MA Agarwal,S Dhawan,4
1304057,MM Ali,AT Rayudu,0
1304057,MS Dhoni,CJ Jordan,11
1304057,MS Dhoni,D Pretorius,1
1304057,MS Dhoni,S Dube,11
1304057,Mukesh Choudhary,CJ Jordan,2
1304057,OF Smith,K Rabada,1
1304057,OF Smith,M Shahrukh Khan,2
1304057,PBB Rajapaksa,S Dhawan,9
1304057,RA Jadeja,AT Rayudu,0
1304057,RD Chahar,K Rabada,12
1304057,RD Gaikwad,RV Uthappa,1
1304057,RV Uthappa,MM Ali,4
1304057,RV Uthappa,RD Gaikwad,9
1304057,S Dhawan,LS Livingstone,33
1304057,S Dhawan,PBB Rajapaksa,0
1304057,S Dube,AT Rayudu,8
1304057,S Dube,MS Dhoni,49
1304057,VG Arora,K Rabada,1
1304058,A Badoni,JO Holder,8
1304058,A Badoni,KL Rahul,11
1304058,AK Markram,RA Tripathi,12
1304058,Abdul Samad,Washington Sundar,0
1304058,Abhishek Sharma,KS Williamson,8
1304058,Abhishek Sharma,RA Tripathi,5
1304058,B Kumar,R Shepherd,1
1304058,DJ Hooda,KL Rahul,51
1304058,E Lewis,KL Rahul,1
1304058,JO Holder,A Badoni,8
1304058,KH Pandya,A Badoni,6
1304058,KL Rahul,A Badoni,19
1304058,KL Rahul,DJ Hooda,35
1304058,KL Rahul,E Lewis,7
1304058,KL Rahul,Q de Kock,7
1304058,KS Williamson,Abhishek Sharma,16
1304058,MK Pandey,KL Rahul,11
1304058,N Pooran,RA Tripathi,3
1304058,N Pooran,Washington Sundar,31
1304058,Q de Kock,KL Rahul,1
1304058,R Shepherd,B Kumar,1
1304058,R Shepherd,Umran Malik,0
1304058,R Shepherd,Washington Sundar,7
1304058,RA Tripathi,AK Markram,31
1304058,RA Tripathi,Abhishek Sharma,4
1304058,RA Tripathi,N Pooran,9
1304058,Umran Malik,R Shepherd,1
1304058,Washington Sundar,N Pooran,16
1304058,Washington Sundar,R Shepherd,2
1304059,Anuj Rawat,F du Plessis,24
1304059,Anuj Rawat,V Kohli,2
1304059,D Padikkal,JC Buttler,37
1304059,DJ Willey,SE Rutherford,0
1304059,DJ Willey,V Kohli,0
1304059,F du Plessis,Anuj Rawat,29
1304059,HV Patel,KD Karthik,9
1304059,JC Buttler,D Padikkal,29
1304059,JC Buttler,SO Hetmyer,37
1304059,JC Buttler,SV Samson,2
1304059,JC Buttler,YBK Jaiswal,2
1304059,KD Karthik,HV Patel,9
1304059,KD Karthik,Shahbaz Ahmed,35
1304059,SE Rutherford,Shahbaz Ahmed,5
1304059,SO Hetmyer,JC Buttler,42
1304059,SV Samson,JC Buttler,8
1304059,Shahbaz Ahmed,KD Karthik,31
1304059,Shahbaz Ahmed,SE Rutherford,14
1304059,V Kohli,Anuj Rawat,4
1304059,V Kohli,DJ Willey,1
1304059,YBK Jaiswal,JC Buttler,4
1304060,AD Russell,VR Iyer,11
1304060,AM Rahane,VR Iyer,7
1304060,D Brevis,Ishan Kishan,29
1304060,Ishan Kishan,D Brevis,10
1304060,Ishan Kishan,RG Sharma,2
1304060,Ishan Kishan,SA Yadav,2
1304060,KA Pollard,Tilak Varma,22
1304060,N Rana,VR Iyer,8
1304060,PJ Cummins,VR Iyer,56
1304060,RG Sharma,Ishan Kishan,3
1304060,SA Yadav,Ishan Kishan,8
1304060,SA Yadav,Tilak Varma,44
1304060,SS Iyer,VR Iyer,10
1304060,SW Billings,VR Iyer,17
1304060,Tilak Varma,SA Yadav,38
1304060,VR Iyer,AD Russell,7
1304060,VR Iyer,AM Rahane,9
1304060,VR Iyer,N Rana,8
1304060,VR Iyer,PJ Cummins,4
1304060,VR Iyer,SS Iyer,9
1304060,VR Iyer,SW Billings,13
1304061,A Badoni,KH Pandya,10
1304061,DA Warner,PP Shaw,4
1304061,DA Warner,R Powell,0
1304061,DJ Hooda,KH Pandya,4
1304061,DJ Hooda,Q de Kock,7
1304061,E Lewis,Q de Kock,5
1304061,KH Pandya,DJ Hooda,19
1304061,KL Rahul,Q de Kock,24
1304061,PP Shaw,DA Warner,61
1304061,Q de Kock,DJ Hooda,27
1304061,Q de Kock,E Lewis,6
1304061,Q de Kock,KL Rahul,47
1304061,R Powell,DA Warner,2
1304061,R Powell,RR Pant,1
1304061,RR Pant,R Powell,3
1304061,RR Pant,SN Khan,36
1304061,SN Khan,RR Pant,36
1304062,Arshdeep Singh,RD Chahar,10
1304062,B Sai Sudharsan,Shubman Gill,35
1304062,DA Miller,HH Pandya,1
1304062,DA Miller,R Tewatia,5
1304062,HH Pandya,Shubman Gill,27
1304062,JM Bairstow,S Dhawan,8
1304062,JM Sharma,LS Livingstone,23
1304062,K Rabada,M Shahrukh Khan,1
1304062,LS Livingstone,JM Sharma,14
1304062,LS Livingstone,M Shahrukh Khan,14
1304062,LS Livingstone,S Dhawan,36
1304062,M Shahrukh Khan,K Rabada,0
1304062,M Shahrukh Khan,LS Livingstone,15
1304062,MA Agarwal,S Dhawan,5
1304062,MS Wade,Shubman Gill,6
1304062,OF Smith,LS Livingstone,0
1304062,R Tewatia,DA Miller,13
1304062,RD Chahar,Arshdeep Singh,17
1304062,RD Chahar,K Rabada,2
1304062,RD Chahar,VG Arora,3
1304062,S Dhawan,JM Bairstow,15
1304062,S Dhawan,LS Livingstone,15
1304062,S Dhawan,MA Agarwal,5
1304062,Shubman Gill,B Sai Sudharsan,64
1304062,Shubman Gill,HH Pandya,7
1304062,Shubman Gill,MS Wade,25
1304062,VG Arora,RD Chahar,2
1304063,AT Rayudu,MM Ali,27
1304063,Abhishek Sharma,KS Williamson,56
1304063,Abhishek Sharma,RA Tripathi,19
1304063,CJ Jordan,DJ Bravo,6
1304063,DJ Bravo,RA Jadeja,8
1304063,KS Williamson,Abhishek Sharma,32
1304063,MM Ali,AT Rayudu,35
1304063,MM Ali,RD Gaikwad,5
1304063,MM Ali,S Dube,8
1304063,MS Dhoni,RA Jadeja,3
1304063,N Pooran,RA Tripathi,5
1304063,RA Jadeja,DJ Bravo,13
1304063,RA Jadeja,MS Dhoni,9
1304063,RA Jadeja,S Dube,1
1304063,RA Tripathi,Abhishek Sharma,35
1304063,RA Tripathi,N Pooran,4
1304063,RD Gaikwad,MM Ali,6
1304063,RD Gaikwad,RV Uthappa,10
1304063,RV Uthappa,RD Gaikwad,15
1304063,S Dube,MM Ali,2
1304063,S Dube,RA Jadeja,1
1304064,Anuj Rawat,F du Plessis,29
1304064,Anuj Rawat,V Kohli,37
1304064,D Brevis,Ishan Kishan,8
1304064,F du Plessis,Anuj Rawat,16
1304064,GJ Maxwell,KD Karthik,8
1304064,Ishan Kishan,D Brevis,2
1304064,Ishan Kishan,RG Sharma,23
1304064,Ishan Kishan,SA Yadav,1
1304064,JD Unadkat,SA Yadav,13
1304064,KA Pollard,SA Yadav,0
1304064,KD Karthik,V Kohli,7
1304064,RG Sharma,Ishan Kishan,26
1304064,Ramandeep Singh,SA Yadav,6
1304064,SA Yadav,Ishan Kishan,1
1304064,SA Yadav,JD Unadkat,56
1304064,SA Yadav,KA Pollard,0
1304064,SA Yadav,Ramandeep Singh,11
1304064,Tilak Varma,SA Yadav,0
1304064,V Kohli,Anuj Rawat,41
1304064,V Kohli,KD Karthik,7
1304065,AD Russell,PJ Cummins,1
1304065,AD Russell,Rasikh Salam,20
1304065,AD Russell,SS Iyer,2
1304065,AD Russell,SW Billings,1
1304065,AM Rahane,SS Iyer,6
1304065,AM Rahane,VR Iyer,2
1304065,AR Patel,DA Warner,3
1304065,AR Patel,SN Thakur,19
1304065,CV Varun,Rasikh Salam,1
1304065,DA Warner,AR Patel,1
1304065,DA Warner,Lalit Yadav,2
1304065,DA Warner,PP Shaw,37
1304065,DA Warner,R Powell,2
1304065,DA Warner,RR Pant,19
1304065,Lalit Yadav,DA Warner,1
1304065,N Rana,SS Iyer,30
1304065,PJ Cummins,AD Russell,4
1304065,PP Shaw,DA Warner,51
1304065,R Powell,DA Warner,8
1304065,RR Pant,DA Warner,27
1304065,Rasikh Salam,AD Russell,7
1304065,Rasikh Salam,CV Varun,0
1304065,SN Thakur,AR Patel,29
1304065,SP Narine,AD Russell,4
1304065,SS Iyer,AD Russell,8
1304065,SS Iyer,AM Rahane,11
